salary,rent,groceries,transportation,healthcare,food,shopping,personal_care,education,electricity,water,insurance,loan_emi,loan_interest,loan_term_years,smoke,dine_out_per_week,monthly_savings
5747,2502,682,210,156,284,60,129,179,116,45,274,614,9.914244874462376,9,0,4,569.0399080300704
3975,866,345,499,289,261,151,179,350,144,27,427,718,4.637354699456557,3,0,5,0.0
4806,1027,310,353,147,230,246,70,319,140,88,167,430,8.845194565142442,8,0,0,1247.6647413972164
3189,1290,496,298,74,394,104,65,399,138,41,448,587,9.442631643478858,6,0,5,0.0
5734,1023,625,394,115,191,232,160,241,168,29,411,608,3.2833908394232205,26,1,2,1514.5286233287377
6005,1595,533,441,99,174,68,116,172,105,43,482,955,2.990242087668488,11,1,1,1257.9089496366619
7658,2168,722,396,118,237,311,125,465,108,82,430,760,9.421169390495365,1,1,1,1715.7157342031946
4899,2653,782,386,127,267,58,33,304,193,50,431,889,5.778122318519524,14,0,1,0.0
4267,2408,737,496,272,357,197,36,321,139,44,241,743,1.9195371654982551,16,0,5,0.0
9975,1805,361,343,217,337,74,141,259,103,66,426,605,2.556433739845876,18,0,0,5305.401650886344
4528,632,629,320,183,144,355,163,179,96,36,166,277,0.20336573051915385,11,1,3,1412.7094492053138
6202,2816,268,255,113,408,121,179,214,195,27,323,285,3.220431827393304,15,0,0,1081.5149613226044
6556,2142,332,482,77,236,371,126,124,95,30,238,415,6.210283607202083,29,0,1,1809.6939825903514
6890,2388,388,335,58,202,106,31,276,167,27,357,979,3.1174047675632233,5,0,1,1527.2776086402282
3646,2270,772,419,55,228,71,150,378,171,36,372,165,2.2851372459586505,25,1,3,0.0
9164,517,478,472,294,260,361,94,392,67,37,269,762,0.5872622545831174,4,0,0,5352.898789347184
5888,2277,629,118,194,137,85,62,319,98,24,413,723,8.466333301953572,16,1,0,814.8159407541368
9310,616,741,314,217,156,228,152,102,159,54,224,129,6.473156115866839,18,1,0,6366.774550777187
8393,1297,360,466,148,260,117,194,415,184,56,378,888,9.086058069060783,9,1,6,3762.0298443905717
5435,2211,652,213,253,275,50,46,414,146,45,132,222,0.21924428224569414,20,1,4,899.7201654068646
3600,1252,369,299,222,358,97,146,132,74,28,313,575,9.219373426332522,27,1,2,0.0
5363,2969,256,124,131,387,201,199,281,84,54,400,689,5.233877447844125,8,1,3,0.0
5061,1892,439,220,168,423,246,75,138,156,66,177,694,1.3527351637083795,10,1,6,242.1229997328918
3241,2597,557,329,220,244,107,123,252,131,85,404,411,2.5193112740553847,9,0,3,0.0
5041,1177,400,198,275,167,97,99,162,170,38,205,514,1.449697183534957,14,1,2,1633.8637443816635
5824,605,643,445,223,439,283,87,188,63,25,119,442,2.263655114229125,13,1,0,2220.359856867585
5612,1157,501,102,240,367,237,110,202,83,31,210,147,2.626795209810906,15,1,3,2145.872997525993
4363,2446,305,485,178,317,163,34,440,192,81,280,98,5.831945878723621,11,0,4,0.0
9235,1948,300,360,236,400,139,166,286,56,64,244,445,2.6135003089637,25,0,0,4613.834375946041
8486,1595,296,353,112,263,218,45,258,190,21,464,446,4.914324883486661,14,0,1,4140.346611271923
4478,1487,228,119,256,435,226,192,148,83,25,235,530,6.4208313156736345,20,0,3,440.9261433690503
5556,2308,705,303,174,278,241,29,321,62,64,362,901,7.784844849896472,13,1,6,0.0
3775,2282,637,393,67,490,182,117,458,53,56,340,458,8.82935730388554,11,1,4,0.0
7014,945,578,456,135,147,221,121,287,190,82,264,812,1.5887886859027789,25,0,4,2581.116018769218
3034,2448,272,227,259,293,67,173,352,97,36,404,69,6.4419529678426235,16,0,4,0.0
9349,2617,453,457,290,388,300,155,464,157,20,129,977,1.1303789950341858,8,0,1,2897.287101682442
6152,2497,715,391,242,305,161,99,291,190,92,407,494,2.3463280511853357,2,1,5,320.78672357869885
4955,2697,749,273,287,183,89,51,343,142,24,409,445,5.700382331148857,23,0,2,0.0
4585,1273,219,320,69,200,151,40,170,82,62,151,77,9.473302103645885,16,1,1,1661.211850644435
6943,2061,734,454,233,254,223,115,446,72,42,184,13,6.086602442759874,8,0,4,2314.9296516977747
6073,2175,620,468,231,146,363,64,176,116,80,462,192,8.758953686551905,18,1,0,1115.4696090097216
4021,1622,645,136,97,333,390,31,320,52,96,269,437,6.717716047928843,22,1,4,0.0
6461,1801,335,409,277,440,351,195,442,189,31,254,380,7.49297027854732,11,1,1,1403.2108633189864
5613,2086,704,248,103,398,245,122,363,173,74,358,848,2.21470123603929,22,1,6,0.0
8225,2186,500,191,151,435,121,93,368,105,67,450,187,4.861919480665682,5,0,1,3385.8824107550518
6843,1443,232,169,138,246,231,89,381,82,36,115,757,8.044067250937704,1,1,1,3186.536163535635
4500,954,477,183,193,295,290,56,493,81,84,304,845,6.6051951487430305,27,1,1,339.99558584055427
7798,1627,332,304,197,493,338,131,320,194,21,170,30,0.3114237701834255,9,0,4,3522.397682059689
9545,1445,726,366,279,121,372,178,190,122,69,342,556,6.680997205146411,0,0,1,4818.444482776939
9873,1100,325,187,96,293,162,150,155,54,94,216,201,1.9208671432724145,28,0,1,6819.174222331263
8675,1224,544,351,299,485,389,88,487,70,81,197,741,9.309600314970133,2,1,6,3762.062559982312
3161,2780,216,310,274,463,212,117,205,52,86,141,224,9.29129216683776,22,0,4,0.0
7297,1917,761,442,184,453,88,52,386,166,42,221,836,8.44835053246306,7,1,3,1647.0357843062409
4981,2024,577,130,200,373,284,55,372,86,75,323,591,1.9530641161106899,13,1,5,0.0
3995,750,259,456,252,483,120,22,491,84,18,208,19,1.1413975228736128,27,1,4,688.6327906527639
9413,2044,666,415,210,307,268,150,392,82,86,388,943,8.908206309132945,9,1,5,3468.4827801043516
7911,578,590,160,217,374,54,125,480,52,35,128,917,4.826248276008604,20,0,0,4191.775943140525
6342,1397,386,166,159,316,290,47,146,195,54,213,935,8.772373664633104,25,1,2,2218.3122675570894
7551,1280,697,325,54,489,214,156,406,180,64,450,464,8.557206022160955,2,0,5,2679.875140556831
6798,725,799,434,222,126,50,45,213,142,61,446,177,8.594261883719508,27,0,6,3415.6033244091786
4275,1574,560,426,160,114,233,176,157,150,18,458,945,2.3134728386286563,13,1,3,0.0
4016,1709,648,166,90,258,57,29,143,182,88,417,776,6.588660138239721,18,0,6,0.0
9439,1557,380,227,185,313,157,174,453,58,16,330,613,9.388646965480254,13,1,6,4958.891024498101
9863,1302,329,210,292,493,234,128,330,65,66,293,200,3.3522469585535895,27,0,0,5907.929039941625
3337,1241,348,371,258,478,333,81,366,140,66,107,334,6.593597062755387,18,1,4,0.0
3878,2678,671,400,292,450,203,115,111,122,46,142,179,3.6623483407279576,3,0,6,0.0
4076,1203,699,133,131,263,83,165,493,106,82,212,301,2.642732912944127,22,0,3,120.5341983032709
7887,1926,554,311,227,226,71,105,304,156,87,367,77,8.144062564594357,6,1,0,3483.3884440247807
6993,2870,410,399,268,429,197,164,153,135,39,439,456,1.8912839537034076,8,1,6,1153.8564633181186
9360,1114,795,472,80,157,200,68,133,66,60,139,648,1.0850824109826795,15,1,4,5368.995489874521
7859,828,229,224,53,246,116,173,347,114,56,104,416,2.74612063146313,27,0,0,4895.670022445241
9331,1895,776,202,243,355,127,24,498,106,93,412,56,4.471874780506968,0,0,1,4514.909367622544
3379,1983,223,305,105,209,281,92,235,54,63,209,756,7.997923313496175,20,1,1,0.0
3492,632,421,219,54,493,88,63,329,199,32,465,766,2.3322863744900046,22,0,2,0.0
8276,1334,788,269,130,148,214,171,455,178,88,356,670,9.071741697299732,19,1,5,3405.463207213156
5062,620,779,134,103,281,148,140,377,181,67,260,969,5.498460942817477,25,0,0,995.9397881113127
6884,1975,600,481,173,160,178,26,360,199,65,287,969,7.1331205274099485,19,0,4,1494.3112014578105
3064,1464,711,430,280,334,68,39,119,137,40,172,762,2.511427622736498,3,0,0,0.0
5568,628,287,345,145,341,320,127,314,81,77,330,294,8.429804252145361,4,0,0,2349.7855970011483
8463,2098,664,439,142,229,50,166,331,159,98,460,964,0.31263054180739824,17,0,1,2680.2794540853615
8248,2576,249,408,129,430,336,83,217,115,71,133,721,2.1128078529389196,16,1,4,2798.6668667450163
5027,2047,302,157,50,363,229,62,148,149,92,171,692,7.799484303631916,21,0,4,541.8826146779542
5695,832,567,498,253,307,305,63,218,120,69,388,352,0.6485777837662376,11,1,4,1710.1459372124073
4495,1653,691,405,260,241,223,172,246,57,46,155,368,5.9306451785653325,11,1,0,36.396670490824405
8258,1816,757,240,122,121,391,36,317,85,43,175,337,7.229942062464575,1,0,2,3660.042450903718
8618,1696,467,210,289,116,99,58,327,61,10,455,627,5.729229820990102,28,1,3,4090.1729044732438
9736,1929,596,262,110,462,69,172,497,51,50,182,441,1.0138011712623152,6,0,3,4737.174750473007
3391,855,519,210,175,418,154,118,362,160,53,330,331,5.983925620184033,9,1,3,0.0
8794,638,719,251,56,221,239,58,435,127,44,248,472,6.1128296530773305,7,1,1,5402.938373183092
7514,2026,648,475,207,381,288,58,109,196,36,295,831,4.852059458515804,13,1,3,1729.8042600889814
9432,1697,675,164,174,326,92,35,462,134,30,487,885,3.644743919482135,25,1,3,4278.200088351467
7474,528,789,205,64,472,54,72,249,98,81,335,26,2.435620153934414,2,0,6,4471.069142008181
8892,1430,439,315,157,400,297,125,317,161,91,276,616,0.7673190088381387,24,1,0,4302.438826417851
6561,1513,457,190,53,385,115,176,232,86,32,110,244,0.352126981453017,22,1,4,2974.4530977165914
5278,1327,589,125,112,215,300,29,303,109,50,222,776,7.91478833306705,4,1,4,1097.77445332179
9184,850,542,256,119,248,177,21,123,91,89,317,688,5.255245999180137,14,1,0,5641.861374092569
6099,2524,586,171,87,269,234,160,242,56,59,232,191,1.4771805144325845,15,1,2,1371.7687395615214
9278,798,593,143,224,189,237,21,443,91,83,159,204,0.9436080286494319,3,1,0,6029.506710607096
3200,2243,469,189,237,218,232,189,315,65,90,257,574,0.9106252436315521,14,1,2,0.0
8959,2365,348,232,276,283,120,33,333,164,31,165,624,1.4426980922492616,6,1,5,4037.7204521566264
7875,1715,579,260,51,495,115,70,154,93,49,460,405,0.28523211256220593,28,0,4,3482.582568445935
6104,2195,227,331,246,363,378,127,453,87,11,243,1,7.650417524591283,13,1,1,1456.315981103422
7598,2611,348,479,57,326,299,68,270,94,51,309,678,3.6680113454575225,14,0,5,1940.9104393716445
5454,1254,619,360,100,192,204,185,489,193,39,431,952,2.877032505002716,21,0,0,247.89543156915977
6645,1269,479,482,166,216,128,181,272,181,53,189,879,4.610038310936943,12,0,1,1973.9830033558694
8847,1738,381,468,271,411,68,48,380,143,92,111,206,3.107608661371363,21,1,6,4481.611895056572
3804,1333,365,210,161,490,318,130,243,84,19,125,662,6.972428848992084,17,1,0,0.0
9242,2713,216,263,68,417,94,143,346,110,93,423,317,2.9754163902042485,19,1,3,3980.726747078041
5731,2406,349,176,143,220,311,83,128,182,72,350,780,6.20756136689543,23,0,4,398.8799495569725
8991,2064,538,308,296,416,271,42,419,158,33,341,888,3.742922514469674,11,0,2,3083.394324966527
5773,1718,244,112,80,237,178,42,484,127,15,126,108,4.0917386152788,22,1,4,2291.2590623017827
4570,1005,701,157,129,330,155,35,223,177,54,152,302,7.830464999868506,2,0,4,1279.6896332311867
8056,1857,388,485,151,405,300,63,272,90,27,442,147,5.186282243330234,19,0,6,3329.4838086373234
9756,1960,260,443,71,247,170,79,333,153,25,184,524,4.055218846332595,18,1,3,5282.538866855488
8581,1916,493,135,82,383,279,128,464,77,49,275,694,3.27998594963808,13,0,0,3521.9170203237813
5690,1672,232,124,291,241,330,84,125,187,25,392,154,6.555757756442465,15,1,5,1872.1826435022917
6840,1260,498,133,263,431,276,166,184,167,88,144,105,6.266941107717802,29,1,5,3077.467659361421
4028,1332,614,239,249,107,324,192,149,174,79,302,976,0.8332113255332674,9,0,0,0.0
3502,1928,748,374,214,490,187,116,254,163,22,230,414,6.7466326072908185,8,1,2,0.0
9910,782,630,469,189,104,222,117,199,94,77,489,857,4.52105290669868,6,0,3,5683.983864478451
7493,878,694,461,163,356,376,148,179,65,59,489,533,9.739754265007331,29,1,1,2975.684818924417
3870,697,299,321,246,466,320,31,128,139,38,176,31,4.684335094574746,28,1,5,860.3984366536483
9938,1055,222,136,113,428,264,172,234,84,67,256,319,9.433492131570272,23,0,2,6608.985034961633
7488,855,619,462,202,345,277,106,161,154,16,260,21,8.038932433590453,4,0,1,4027.991295230055
3206,2063,623,228,231,334,156,108,170,194,14,116,701,9.677597871654932,11,1,1,0.0
8134,1540,686,415,78,461,208,107,482,161,49,366,987,2.058997673887897,11,1,3,2469.3060597327935
8977,878,288,422,62,109,185,157,389,199,13,222,489,3.323187018195087,20,1,0,5642.11054435994
4484,1179,408,317,294,341,300,180,232,70,16,421,46,5.883554339424571,16,1,4,672.0233390099114
3863,2279,470,434,75,420,79,149,216,95,89,389,0,0.9735927306526171,8,0,1,0.0
5790,1398,605,347,71,287,147,151,107,106,46,322,963,7.114150982853051,14,0,4,954.5151854060448
3563,575,477,210,142,413,146,170,299,54,84,499,463,2.6912592208307826,24,1,0,0.0
8116,730,405,403,125,101,306,129,142,101,68,335,170,1.4944399731003388,11,0,4,5035.057732989544
7191,2239,789,319,289,253,321,60,279,180,59,223,342,0.5894523832685072,13,1,1,1771.8495092246255
9019,1461,527,295,159,302,60,57,429,102,78,392,37,4.150339967424706,19,0,3,5188.180111096551
4757,2849,535,246,284,316,391,75,356,132,38,249,424,1.2728937893267733,13,0,5,0.0
9628,2762,791,443,141,414,217,191,137,67,64,134,483,4.990326227812137,16,1,3,3791.2891213875423
9374,2616,237,139,122,204,260,43,362,192,98,490,397,4.090466230766962,12,1,2,4059.609889692042
9892,892,427,233,168,100,221,112,436,99,76,405,234,8.70858471661318,18,0,5,6504.872741922137
4678,1608,682,451,59,353,375,188,283,77,39,472,362,0.7293828287366932,4,0,1,0.0
6242,766,333,290,97,386,169,47,379,95,29,114,514,8.597301275167942,21,0,2,3067.5947600859877
7636,1592,589,262,292,393,234,81,390,162,76,487,832,7.1498926755336765,26,1,4,2311.690360363628
4059,1110,624,160,219,377,88,162,300,165,70,443,299,6.46014605492241,29,1,6,0.0
9668,1870,786,104,139,293,306,29,141,121,53,368,783,9.752690287595424,24,1,2,4840.325354281115
8279,1508,709,136,294,356,328,147,399,169,65,128,135,0.49193836516671197,7,0,0,3852.5294102032703
4722,1461,794,316,277,349,279,48,103,162,88,405,448,4.905281267339411,27,0,0,1.221680106119777
6314,1172,626,324,236,347,164,178,463,143,69,115,84,7.292693767000299,23,1,3,2442.468723579701
6157,2970,673,315,230,187,353,82,218,50,50,100,317,5.3442939336897,16,1,6,521.6044143536569
8915,2200,767,238,217,352,140,106,176,107,87,133,769,3.2045874791835436,25,0,2,3525.9156240748825
5625,2662,560,205,252,263,358,165,379,198,49,453,75,0.26204132651481804,6,0,1,0.0
5729,2767,410,198,239,261,110,26,426,105,59,203,717,6.5209583050029964,14,1,3,235.76291375625289
9700,530,378,267,55,364,152,174,222,119,19,388,85,8.655227265118938,6,1,4,6994.403462305423
4597,1866,257,363,181,209,264,156,446,194,26,242,823,7.183379531270171,19,1,5,0.0
6060,1900,272,186,294,439,151,39,449,127,24,285,211,0.5108274478632735,10,0,4,1793.3255793691337
5693,1653,414,183,140,487,192,136,255,184,62,436,912,7.01002571391898,7,0,6,749.0839939561415
7891,1116,272,323,104,306,139,111,428,128,82,390,188,7.375147377150259,22,1,3,4365.41043237538
8147,1038,666,110,175,418,167,69,202,121,60,280,507,6.63328281631638,27,1,0,4385.736994201092
8739,1370,470,426,265,231,188,86,458,59,90,475,262,5.889773390407322,14,1,6,4297.6524970500195
6627,600,698,285,246,232,352,128,440,176,75,303,340,7.014316810927621,16,1,0,2679.6081799365193
4363,1912,553,449,291,493,289,164,201,90,35,157,801,5.761501664980456,26,0,4,0.0
4981,1440,433,478,295,207,185,118,490,196,47,176,315,4.79106866669316,25,1,0,714.8757192934144
8450,840,518,330,298,271,54,168,144,185,39,248,21,5.36374564160247,20,1,6,5311.765667513463
4663,1543,218,240,180,139,258,179,444,156,64,138,917,0.720716727750933,9,1,4,206.39275344075446
4529,537,774,205,56,391,136,67,169,131,18,100,404,5.255451911760826,14,1,5,1239.7242132871602
5038,1159,571,352,137,134,396,185,148,179,25,148,895,7.036093065872354,22,0,0,621.150130815147
8592,2533,383,148,135,158,368,47,218,54,33,432,508,4.937181207337026,12,1,5,3654.3606392403444
6302,2060,476,362,189,292,326,89,439,126,95,398,12,5.5697744469205555,22,0,6,1443.0567680228728
5237,2156,344,304,148,309,170,77,395,89,29,468,236,7.640343764329865,19,1,6,419.84531312718
8504,1549,280,456,194,471,294,29,117,60,71,443,709,1.4135071713192748,16,0,4,3799.2716425665585
8496,953,521,150,244,130,139,21,146,167,61,187,472,7.498638936293479,24,0,4,5474.885819314796
4306,2204,634,274,124,273,189,172,100,66,87,432,638,3.7357045929788235,14,0,5,0.0
7029,1846,242,324,247,404,161,185,260,124,61,455,43,7.855628132959039,20,1,4,2664.108158719645
9776,1318,512,360,156,489,289,20,394,170,52,488,926,2.196728368271612,7,0,0,4594.335127369167
5675,1272,492,321,213,297,321,99,211,75,19,433,280,7.941119184378116,16,0,1,1645.793588567445
8068,512,268,322,194,205,192,109,122,88,75,169,351,7.914946316383084,3,1,4,5573.405736850365
8864,1420,255,368,135,374,256,92,343,147,80,485,54,3.2126623588337697,1,1,5,5096.22091633713
4282,1324,403,397,50,195,168,32,369,137,74,464,540,7.960239824155163,23,0,6,247.666219813673
3709,2918,619,480,285,269,133,90,352,165,24,346,751,1.2389185309150375,11,1,0,0.0
8575,1814,766,488,169,129,300,20,392,90,84,423,802,8.094475658239551,15,1,1,3200.275333451994
8530,2879,749,417,116,381,327,178,170,153,93,162,843,1.464680491141045,27,0,6,1879.576130183674
7744,2808,442,484,257,486,212,75,175,157,59,179,79,9.855736891992162,9,0,5,2315.2043708240058
7413,2517,400,173,148,260,191,166,264,59,50,455,328,5.873471959394186,13,1,4,2313.9997176479774
6748,1728,673,213,255,405,399,23,478,122,69,339,716,7.816948607395925,10,0,1,1260.0587895711335
8353,1196,726,318,98,210,80,47,362,179,42,184,508,5.634175165350207,10,1,2,4486.069631320177
7779,1449,276,153,100,311,375,63,208,169,61,180,587,5.788052540157386,28,0,4,3951.653780083314
3663,2934,677,299,120,295,140,49,476,198,47,166,345,4.828626729951666,15,1,4,0.0
4998,1938,639,471,267,195,177,55,279,167,93,187,502,1.3827103436399113,4,1,0,5.385217591004071
6445,568,462,230,169,437,316,125,244,74,73,438,398,2.7194510306738637,18,1,2,2824.842720465461
6743,2281,384,438,220,237,85,141,289,71,19,197,323,9.358474426486813,21,1,0,2102.783738751767
8727,2747,254,291,161,377,385,23,264,60,59,358,816,3.7264116561938354,23,0,3,3017.161654711992
4495,2763,507,278,80,409,329,30,113,54,72,266,713,0.5624070946821336,10,1,6,0.0
6304,2469,715,485,73,278,262,72,343,55,68,366,943,7.973677061394503,23,0,6,265.7274371157942
6763,711,498,404,260,436,282,143,410,65,21,323,43,7.132953747149217,11,1,5,3264.561505006591
8232,1007,751,386,86,333,277,107,156,95,67,466,549,3.0750066545382184,7,0,2,3842.8617515669785
4853,2563,429,339,242,348,347,73,103,63,98,385,111,3.7114026067227868,6,1,5,0.0
8616,2021,576,344,266,231,286,103,313,73,18,405,267,4.912458369525869,8,0,4,3706.583757096081
9585,831,485,429,112,348,70,64,148,158,58,166,315,1.4265314367580917,28,0,5,6624.805523332634
7659,1050,337,216,105,392,145,164,180,125,70,275,213,9.922850890724744,15,1,6,4372.639133027532
4291,2124,677,307,251,162,100,83,134,55,90,203,933,3.779867909248771,0,0,5,0.0
6581,1441,206,311,67,406,386,32,465,70,87,395,703,8.578003322297231,9,1,4,1956.111290607137
6457,2803,618,358,155,491,360,198,280,161,97,327,506,8.283635682860709,26,1,5,68.64077120960492
4636,1227,671,479,242,356,111,71,259,95,60,371,349,2.6515114257785832,27,0,4,311.87270362780134
6696,1379,619,262,206,347,392,162,457,154,54,259,14,0.7921602669453309,1,1,2,2337.6902377899232
5999,1148,475,325,126,363,202,151,476,161,76,455,803,4.477556621071393,12,1,4,1289.7267009572624
6152,1499,760,440,53,436,273,101,316,90,89,289,580,2.188505056137001,3,1,5,1087.5955034422018
3698,2021,770,163,170,460,191,126,365,116,27,329,752,3.792375154646519,17,0,5,0.0
5160,2112,289,345,189,467,90,28,350,132,70,313,451,9.18767000983259,25,1,3,268.77693803818744
7097,1509,481,117,233,492,215,131,212,132,59,201,89,5.850182427636177,15,0,5,3261.0447790794356
7737,2050,747,133,97,278,239,139,289,114,23,139,170,4.223624242667703,0,0,6,3236.9903400545572
9363,1303,370,411,196,499,346,86,101,135,19,305,274,5.9356693787245804,23,1,1,5525.591410201205
8685,713,554,422,75,414,94,101,162,196,83,298,589,1.0449287657025186,10,1,2,4970.771845770458
3854,668,403,280,157,400,257,120,219,128,15,421,346,7.603804035653738,5,0,6,436.7140873505243
8855,1477,488,446,87,264,145,139,344,196,12,459,119,5.662761024426936,19,0,1,4558.807459642042
9528,1828,661,293,129,190,324,176,499,74,95,494,165,9.699884179886388,27,0,6,4629.894894462125
6474,645,372,291,285,421,342,194,371,143,11,489,281,3.942897478921219,13,0,0,2718.5466999087353
8757,2298,500,166,202,291,284,135,230,169,85,236,617,1.8698895859051035,19,0,0,3544.8622579391194
8249,1015,799,308,299,391,390,133,316,61,10,252,214,1.7942966178670416,25,1,2,4064.3673339126462
8172,952,728,465,233,175,256,152,117,141,61,232,361,8.573709465837748,13,1,4,4305.300393835168
4707,559,339,266,251,405,75,130,330,119,22,104,497,4.607923284864588,7,0,0,1512.748229042136
5777,1027,477,345,278,198,399,78,397,191,41,409,944,2.917829932784586,15,0,0,1122.1369413047958
8791,1523,710,344,77,194,256,54,331,54,34,367,316,7.885201958730993,26,0,5,4468.824135552086
4733,2064,545,265,110,280,190,24,223,109,47,317,833,7.371488679607654,11,1,3,0.0
8535,1602,339,395,269,253,396,69,149,127,14,489,501,9.103028736465307,14,0,0,3797.335114164291
9390,932,313,310,138,473,136,79,276,162,27,344,204,8.661176790573048,25,1,0,6060.6774876177005
7931,1676,779,232,138,455,147,34,102,101,19,301,651,0.97801203673201,23,1,0,3290.6283706606314
6510,900,706,296,228,423,72,127,171,186,62,446,740,1.7170736350397642,6,1,4,2151.187470342457
3202,2604,565,497,189,211,299,134,471,193,92,459,359,4.606867073077573,2,1,0,0.0
6255,2733,596,446,57,270,299,122,224,84,43,186,803,8.947436298921183,7,1,2,449.0115368790179
7218,2945,310,148,277,352,197,171,482,123,39,212,962,7.462385828807162,25,1,6,1021.6016881334981
7496,1104,557,163,171,482,103,40,104,162,41,393,835,1.3022068262427244,19,1,5,3494.662184831334
3766,2705,437,211,152,450,364,21,284,65,20,264,926,1.8969635199109414,24,1,4,0.0
7389,2310,202,455,235,221,88,192,183,100,95,333,808,4.641256488968063,29,1,3,2093.1692811311236
5327,1963,603,284,137,304,383,101,252,110,39,252,667,6.883923329192506,13,0,5,170.94958131503316
5931,2993,224,203,72,344,267,29,297,128,10,159,487,1.9540498031613318,6,0,0,744.3910658354699
3197,2273,708,312,86,226,396,192,319,108,15,497,714,0.8337991315704196,19,1,4,0.0
4930,2053,664,104,60,458,286,184,122,176,87,166,942,0.18525967084558892,20,1,5,0.0
6582,1596,260,218,66,414,374,170,493,152,65,215,439,1.3058181008067127,20,0,4,2198.2805187192976
9895,1428,707,443,269,145,373,192,237,53,76,167,746,4.099255489418735,16,1,5,5066.600021886659
9287,2451,322,348,233,395,392,188,260,179,67,263,975,8.64563837902591,22,0,5,2999.2072946905214
3608,2473,696,266,230,335,326,84,172,120,88,380,741,0.4066312858763588,11,0,0,0.0
6272,2564,254,482,244,240,274,80,294,151,28,107,284,6.797524555345561,3,0,3,1244.7304985512872
4147,2054,362,341,179,220,193,137,196,111,70,380,14,1.3397338655305535,18,0,0,0.0
7282,825,238,379,292,460,337,153,173,147,71,129,340,4.916118895301094,4,0,0,3899.2022559779266
